Site,Ecosystem,Emirate,plot,depth (cm),section length (cm),total core length (cm), % loss on ignition (LOI), % total carbon (TC),% inorganic carbon (IC),% organic carbon (OC),% nitrogen (N),proportion TC,proportion IC,proportion OC,proportion N,dry bulk density (g/cm3),TC density (g/cm3),IC density (g/cm3),OC density (g/cm3),TC (g/cm2),IC (g/cm2),OC (g/cm2),TC (g/m2),IC    (g/m2),OC (g/m2),TC (Mg/ha),IC  (Mg/ha),OC (Mg/ha),notes,,
Jubail Is. East,salt marsh,Abu Dhabi,5,15-30,15,,5.586,10.21,8.76,1.45,0.073,0.102,0.088,0.015,0.00073,1.179,0.120,0.103,0.017,1.806,1.549,0.257,18060.5,15489.6,2570.9,180.60,154.90,25.71,,,
Jubail Is. East,salt marsh,Abu Dhabi,5,30-53,23,,3.629,10.65,9.51,1.14,0.080,0.107,0.095,0.011,0.00080,1.065,0.113,0.101,0.012,2.610,2.330,0.280,26099.8,23295.9,2803.9,261.00,232.96,28.04,,,
Jubail Is. East,salt marsh,Abu Dhabi,6,0-15,15,55,6.195,10.56,8.89,1.67,0.074,0.106,0.089,0.017,0.00074,1.206,0.127,0.107,0.020,1.911,1.609,0.302,19110.8,16086.7,3024.1,191.11,160.87,30.24,,,
Jubail Is. East,salt marsh,Abu Dhabi,6,15-30,15,,4.246,10.15,9.13,1.02,0.064,0.101,0.091,0.010,0.00064,1.194,0.121,0.109,0.012,1.818,1.636,0.182,18179.4,16356.2,1823.2,181.79,163.56,18.23,,,
Jubail Is. East,salt marsh,Abu Dhabi,6,30-55,25,,3.863,10.40,9.44,0.96,0.075,0.104,0.094,0.010,0.00075,1.033,0.107,0.098,0.010,2.687,2.438,0.248,26868.0,24384.8,2483.2,268.68,243.85,24.83,,,
Marawah Is.,salt marsh,Abu Dhabi,1,0-16,16,16,8.944,9.52,7.94,1.59,0.083,0.095,0.079,0.016,0.00083,1.228,0.117,0.097,0.019,1.870,1.559,0.311,18701.2,15587.3,3113.9,187.01,155.87,31.14,,,
Marawah Is.,salt marsh,Abu Dhabi,2,0-19,19,19,10.083,10.02,7.67,2.34,0.072,0.100,0.077,0.023,0.00072,1.381,0.138,0.106,0.032,2.629,2.014,0.615,26286.5,20136.6,6149.9,262.87,201.37,61.50,,,
Marawah Is.,salt marsh,Abu Dhabi,3,0-15,15,23,11.461,10.65,8.05,2.60,0.060,0.106,0.080,0.026,0.00060,1.490,0.159,0.120,0.039,2.380,1.799,0.581,23799.0,17992.6,5806.4,237.99,179.93,58.06,,,
Marawah Is.,salt marsh,Abu Dhabi,3,15-23,8,,5.997,10.64,9.78,0.86,0.073,0.106,0.098,0.009,0.00073,1.491,0.159,0.146,0.013,1.270,1.167,0.103,12696.4,11669.8,1026.7,126.96,116.70,10.27,,,
Marawah Is.,salt marsh,Abu Dhabi,4,0-15,15,26,18.062,10.23,6.14,4.09,0.059,0.102,0.061,0.041,0.00059,1.552,0.159,0.095,0.063,2.381,1.430,0.951,23809.6,14296.0,9513.6,238.10,142.96,95.14,,,
Marawah Is.,salt marsh,Abu Dhabi,4,15-26,11,,6.718,10.97,9.67,1.30,0.076,0.110,0.097,0.013,0.00076,1.712,0.188,0.166,0.022,2.067,1.822,0.244,20666.7,18222.0,2444.7,206.67,182.22,24.45,,,
Marawah Is.,salt marsh,Abu Dhabi,5,0-10,10,10,21.000,10.03,5.06,4.97,0.000,0.100,0.051,0.050,0.00000,1.368,0.137,0.069,0.068,1.372,0.692,0.680,13721.7,6921.4,6800.4,137.22,69.21,68.00,,,
Marawah Is.,salt marsh,Abu Dhabi,6,0-18,18,18,6.843,10.99,9.78,1.21,0.061,0.110,0.098,0.012,0.00061,1.665,0.183,0.163,0.020,3.293,2.930,0.363,32932.5,29300.2,3632.3,329.33,293.00,36.32,,,
Al Aryam,microbial mat,Abu Dhabi,1,0-5,5,186,9.644,8.92,6.81,2.11,0.064,0.089,0.068,0.021,0.00064,0.935,0.083,0.064,0.020,0.417,0.318,0.099,4168.1,3181.4,986.7,41.68,31.81,9.87,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,1,5-15,10,,5.209,10.75,9.22,1.54,0.041,0.108,0.092,0.015,0.00041,1.239,0.133,0.114,0.019,1.332,1.141,0.190,13317.9,11414.5,1903.4,133.18,114.14,19.03,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,1,15-30,15,,4.146,10.18,8.90,1.28,0.044,0.102,0.089,0.013,0.00044,1.209,0.123,0.108,0.015,1.846,1.614,0.232,18464.0,16139.9,2324.1,184.64,161.40,23.24,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,1,30-50,20,,3.026,10.23,9.67,0.57,0.023,0.102,0.097,0.006,0.00023,1.398,0.143,0.135,0.008,2.862,2.704,0.158,28623.0,27040.3,1582.7,286.23,270.40,15.83,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,1,50-100,50,,3.580,9.94,9.20,0.75,0.000,0.099,0.092,0.007,0.00000,1.276,0.127,0.117,0.010,6.344,5.866,0.478,63438.9,58662.5,4776.4,634.39,586.62,47.76,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,1,100-186,86,,4.084,10.70,9.71,1.00,0.000,0.107,0.097,0.010,0.00000,1.317,0.141,0.128,0.013,12.128,10.998,1.131,121282.0,109975.7,11306.4,1212.82,1099.76,113.06,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,2,0-5,5,182,10.609,9.14,6.62,2.52,0.097,0.091,0.066,0.025,0.00097,1.073,0.098,0.071,0.027,0.490,0.355,0.135,4899.7,3548.8,1350.8,49.00,35.49,13.51,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,2,5-15,10,,6.855,10.22,8.45,1.77,0.000,0.102,0.084,0.018,0.00000,1.183,0.121,0.100,0.021,1.208,0.999,0.209,12084.0,9991.7,2092.3,120.84,99.92,20.92,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,2,15-30,15,,3.786,10.26,9.20,1.06,0.000,0.103,0.092,0.011,0.00000,1.326,0.136,0.122,0.014,2.041,1.829,0.212,20409.2,18292.5,2116.7,204.09,182.92,21.17,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,2,30-50,20,,3.233,10.11,9.31,0.80,0.000,0.101,0.093,0.008,0.00000,1.377,0.139,0.128,0.011,2.785,2.565,0.220,27852.4,25654.2,2198.3,278.52,256.54,21.98,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,2,50-100,50,,3.567,9.80,9.12,0.69,0.031,0.098,0.091,0.007,0.00031,1.343,0.132,0.122,0.009,6.580,6.120,0.460,65801.4,61198.8,4602.6,658.01,611.99,46.03,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,2,100-182,82,,3.970,10.57,9.74,0.84,0.000,0.106,0.097,0.008,0.00000,1.370,0.145,0.133,0.011,11.875,10.936,0.939,118753.4,109363.0,9390.3,1187.53,1093.63,93.90,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,3,0-5,5,200,9.066,10.18,7.68,2.50,0.132,0.102,0.077,0.025,0.00132,1.124,0.114,0.086,0.028,0.572,0.432,0.140,5720.1,4316.5,1403.6,57.20,43.17,14.04,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,3,5-15,10,,4.042,10.13,8.75,1.38,0.025,0.101,0.088,0.014,0.00025,1.187,0.120,0.104,0.016,1.203,1.039,0.164,12029.0,10390.2,1638.7,120.29,103.90,16.39,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,3,15-30,15,,3.989,10.05,8.82,1.23,0.000,0.101,0.088,0.012,0.00000,1.335,0.134,0.118,0.016,2.013,1.766,0.247,20129.7,17657.7,2472.0,201.30,176.58,24.72,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,3,30-50,20,,3.088,10.19,9.43,0.77,0.000,0.102,0.094,0.008,0.00000,1.328,0.135,0.125,0.010,2.707,2.503,0.203,27066.4,25034.4,2032.1,270.66,250.34,20.32,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,3,50-100,50,,3.680,10.14,9.00,1.14,0.024,0.101,0.090,0.011,0.00024,1.348,0.137,0.121,0.015,6.835,6.068,0.767,68348.2,60675.1,7673.2,683.48,606.75,76.73,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,3,100-200,100,,4.358,10.70,9.87,0.83,0.000,0.107,0.099,0.008,0.00000,1.286,0.138,0.127,0.011,13.759,12.696,1.063,137590.3,126959.4,10630.9,1375.90,1269.59,106.31,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,4,0-5,5,165,10.935,9.13,7.44,1.69,0.091,0.091,0.074,0.017,0.00091,0.991,0.090,0.074,0.017,0.452,0.369,0.084,4523.8,3687.2,836.6,45.24,36.87,8.37,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,4,5-15,10,,7.883,9.77,7.93,1.84,0.000,0.098,0.079,0.018,0.00000,1.304,0.127,0.103,0.024,1.274,1.034,0.240,12740.9,10339.8,2401.1,127.41,103.40,24.01,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,4,15-30,15,,4.049,10.35,9.41,0.94,0.000,0.103,0.094,0.009,0.00000,1.115,0.115,0.105,0.010,1.730,1.574,0.157,17303.6,15735.8,1567.8,173.04,157.36,15.68,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,4,30-50,20,,5.695,5.78,5.18,0.60,0.000,0.058,0.052,0.006,0.00000,1.332,0.077,0.069,0.008,1.541,1.380,0.161,15408.4,13799.5,1608.9,154.08,137.99,16.09,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,4,50-100,50,,3.290,10.10,9.37,0.72,0.000,0.101,0.094,0.007,0.00000,1.377,0.139,0.129,0.010,6.953,6.454,0.499,69530.9,64544.1,4986.8,695.31,645.44,49.87,larger corer used,,
Al Aryam,microbial mat,Abu Dhabi,4,100-165,65,,5.081,11.20,9.15,2.05,0.088,0.112,0.091,0.020,0.00088,1.131,0.127,0.104,0.023,8.235,6.728,1.507,82346.4,67276.1,15070.3,823.46,672.76,150.70,larger corer used,,
Algal Moon,microbial mat,Abu Dhabi,1,0-3,3,44,20.551,12.83,5.27,7.56,0.816,0.128,0.053,0.076,0.00816,0.855,0.110,0.045,0.065,0.329,0.135,0.194,3290.6,1350.6,1940.0,32.91,13.51,19.40,,,
Algal Moon,microbial mat,Abu Dhabi,1,3-15,12,,16.222,9.96,6.53,3.43,0.471,0.100,0.065,0.034,0.00471,0.758,0.076,0.050,0.026,0.906,0.594,0.312,9060.7,5943.1,3117.6,90.61,59.43,31.18,,,
Algal Moon,microbial mat,Abu Dhabi,1,15-30,15,,12.380,10.81,5.18,5.63,0.350,0.108,0.052,0.056,0.00350,0.878,0.095,0.045,0.049,1.424,0.682,0.742,14235.6,6817.5,7418.2,142.36,68.17,74.18,,,
Algal Moon,microbial mat,Abu Dhabi,1,30-44,14,,9.238,10.33,7.27,3.06,0.274,0.103,0.073,0.031,0.00274,0.941,0.097,0.068,0.029,1.361,0.958,0.403,13607.5,9576.6,4030.9,136.08,95.77,40.31,,,
Algal Moon,microbial mat,Abu Dhabi,2,0-14,14,42,17.463,12.09,6.02,6.08,0.693,0.121,0.060,0.061,0.00693,0.606,0.073,0.036,0.037,1.026,0.511,0.516,10261.6,5106.1,5155.6,102.62,51.06,51.56,,,
Algal Moon,microbial mat,Abu Dhabi,2,14-30,16,,12.682,11.16,6.82,4.34,0.405,0.112,0.068,0.043,0.00405,0.743,0.083,0.051,0.032,1.327,0.810,0.516,13265.3,8102.2,5163.1,132.65,81.02,51.63,,,
Algal Moon,microbial mat,Abu Dhabi,2,30-42,12,,5.628,10.61,9.26,1.34,0.183,0.106,0.093,0.013,0.00183,1.255,0.133,0.116,0.017,1.597,1.395,0.202,15970.4,13947.1,2023.2,159.70,139.47,20.23,,,
Algal Moon,microbial mat,Abu Dhabi,3,0-4,4,43,20.915,12.83,5.01,7.82,0.889,0.128,0.050,0.078,0.00889,0.566,0.073,0.028,0.044,0.290,0.113,0.177,2901.9,1133.4,1768.5,29.02,11.33,17.68,,,
Algal Moon,microbial mat,Abu Dhabi,3,4-15,11,,16.204,11.76,6.07,5.69,0.573,0.118,0.061,0.057,0.00573,0.622,0.073,0.038,0.035,0.804,0.415,0.389,8041.0,4150.3,3890.7,80.41,41.50,38.91,,,
Algal Moon,microbial mat,Abu Dhabi,3,15-30,15,,12.645,11.11,6.88,4.23,0.393,0.111,0.069,0.042,0.00393,0.809,0.090,0.056,0.034,1.348,0.835,0.514,13484.7,8349.3,5135.5,134.85,83.49,51.35,,,
Algal Moon,microbial mat,Abu Dhabi,3,30-43,13,,8.981,10.52,8.97,1.55,0.061,0.105,0.090,0.016,0.00061,1.699,0.179,0.152,0.026,2.324,1.982,0.342,23244.6,19820.3,3424.3,232.45,198.20,34.24,,,
Algal Moon,microbial mat,Abu Dhabi,4,0-15,15,43,16.814,11.44,5.67,5.77,0.617,0.114,0.057,0.058,0.00617,0.588,0.067,0.033,0.034,1.009,0.501,0.509,10094.0,5005.6,5088.4,100.94,50.06,50.88,,,
Algal Moon,microbial mat,Abu Dhabi,4,15-30,15,,15.097,11.21,5.86,5.35,0.490,0.112,0.059,0.053,0.00490,0.688,0.077,0.040,0.037,1.157,0.605,0.552,11569.7,6049.3,5520.5,115.70,60.49,55.20,,,
Algal Moon,microbial mat,Abu Dhabi,4,30-43,13,,8.779,10.40,7.69,2.72,0.256,0.104,0.077,0.027,0.00256,1.055,0.110,0.081,0.029,1.427,1.055,0.373,14272.9,10547.5,3725.5,142.73,105.47,37.25,,,
Algal Moon,microbial mat,Abu Dhabi,5,0-15,15,43,19.958,12.12,4.62,7.50,0.792,0.121,0.046,0.075,0.00792,0.620,0.075,0.029,0.047,1.128,0.430,0.698,11278.2,4302.6,6975.5,112.78,43.03,69.76,,,
Algal Moon,microbial mat,Abu Dhabi,5,15-30,15,,18.747,12.68,5.18,7.50,0.713,0.127,0.052,0.075,0.00713,0.656,0.083,0.034,0.049,1.248,0.510,0.738,12480.6,5099.5,7381.1,124.81,51.00,73.81,,,
Algal Moon,microbial mat,Abu Dhabi,5,30-43,13,,11.693,10.95,6.78,4.17,0.371,0.109,0.068,0.042,0.00371,0.932,0.102,0.063,0.039,1.326,0.821,0.504,13256.6,8212.0,5044.6,132.57,82.12,50.45,,,
Rafiq Is.,microbial mat,Abu Dhabi,1,0-1,1,13,14.266,9.58,6.19,3.39,0.323,0.096,0.062,0.034,0.00323,1.096,0.105,0.068,0.037,0.105,0.068,0.037,1050.2,678.4,371.8,10.50,6.78,3.72,,,
Rafiq Is.,microbial mat,Abu Dhabi,1,1-13,12,,4.205,9.78,8.67,1.11,0.053,0.098,0.087,0.011,0.00053,1.395,0.136,0.121,0.016,1.637,1.451,0.186,16370.1,14508.8,1861.3,163.70,145.09,18.61,,,
Rafiq Is.,microbial mat,Abu Dhabi,2,0-1,1,14,9.634,9.81,7.96,1.85,0.220,0.098,0.080,0.018,0.00220,1.540,0.151,0.123,0.028,0.151,0.123,0.028,1510.0,1225.5,284.5,15.10,12.26,2.84,,,
Rafiq Is.,microbial mat,Abu Dhabi,2,1-14,13,,3.958,10.16,9.72,0.44,0.059,0.102,0.097,0.004,0.00059,1.342,0.136,0.130,0.006,1.772,1.695,0.077,17724.5,16953.1,771.3,177.24,169.53,7.71,,,
Rafiq Is.,microbial mat,Abu Dhabi,3,0-1,1,19,13.659,10.00,6.42,3.58,0.272,0.100,0.064,0.036,0.00272,1.321,0.132,0.085,0.047,0.132,0.085,0.047,1320.5,848.0,472.5,13.21,8.48,4.72,,,
Rafiq Is.,microbial mat,Abu Dhabi,3,1-19,18,,4.343,9.84,9.07,0.77,0.069,0.098,0.091,0.008,0.00069,1.249,0.123,0.113,0.010,2.213,2.039,0.174,22130.8,20393.4,1737.5,221.31,203.93,17.37,,,
Rafiq Is.,microbial mat,Abu Dhabi,4,0-1,1,20,10.559,9.96,7.53,2.43,0.224,0.100,0.075,0.024,0.00224,1.587,0.158,0.120,0.038,0.158,0.120,0.038,1580.3,1195.4,385.0,15.80,11.95,3.85,,,
Rafiq Is.,microbial mat,Abu Dhabi,4,1-20,19,,4.087,9.98,9.58,0.40,0.058,0.100,0.096,0.004,0.00058,1.356,0.135,0.130,0.005,2.570,2.468,0.102,25700.2,24679.9,1020.3,257.00,246.80,10.20,,,
Rafiq Is.,microbial mat,Abu Dhabi,5,0-1,1,19,16.995,9.55,5.22,4.33,0.378,0.095,0.052,0.043,0.00378,1.125,0.107,0.059,0.049,0.107,0.059,0.049,1074.6,587.8,486.8,10.75,5.88,4.87,,,
Rafiq Is.,microbial mat,Abu Dhabi,5,1-19,18,,4.357,9.88,9.13,0.75,0.074,0.099,0.091,0.007,0.00074,1.428,0.141,0.130,0.011,2.541,2.348,0.193,25406.4,23479.0,1927.3,254.06,234.79,19.27,,,
Thimiriya,microbial mat,Abu Dhabi,1,0-15,15,46,7.052,6.35,4.68,1.68,0.043,0.064,0.047,0.017,0.00043,1.118,0.071,0.052,0.019,1.065,0.784,0.281,10653.9,7842.6,2811.2,106.54,78.43,28.11,,,
Thimiriya,microbial mat,Abu Dhabi,1,15-30,15,,4.760,7.22,5.78,1.44,0.000,0.072,0.058,0.014,0.00000,1.651,0.119,0.095,0.024,1.789,1.432,0.357,17886.6,14320.8,3565.8,178.87,143.21,35.66,,,
Thimiriya,microbial mat,Abu Dhabi,1,30-46,16,,4.702,7.16,6.35,0.81,0.000,0.072,0.064,0.008,0.00000,1.198,0.086,0.076,0.010,1.372,1.217,0.155,13720.3,12169.3,1551.1,137.20,121.69,15.51,,,
Thimiriya,microbial mat,Abu Dhabi,2,0-4,4,48,9.565,4.56,2.24,2.32,0.171,0.046,0.022,0.023,0.00171,0.849,0.039,0.019,0.020,0.155,0.076,0.079,1547.6,761.2,786.4,15.48,7.61,7.86,,,
Thimiriya,microbial mat,Abu Dhabi,2,4-15,11,,8.926,6.22,4.34,1.88,0.000,0.062,0.043,0.019,0.00000,0.806,0.050,0.035,0.015,0.552,0.385,0.167,5515.2,3846.0,1669.3,55.15,38.46,16.69,,,
Thimiriya,microbial mat,Abu Dhabi,2,15-48,23,,4.893,7.38,6.47,0.90,0.043,0.074,0.065,0.009,0.00043,1.355,0.100,0.088,0.012,2.299,2.017,0.282,22994.2,20173.9,2820.2,229.94,201.74,28.20,,,
Thimiriya,microbial mat,Abu Dhabi,3,0-3,3,55,11.687,7.36,3.36,3.99,0.386,0.074,0.034,0.040,0.00386,0.718,0.053,0.024,0.029,0.158,0.072,0.086,1584.7,724.6,860.2,15.85,7.25,8.60,,,
Thimiriya,microbial mat,Abu Dhabi,3,3-15,12,,5.646,6.04,4.71,1.33,0.054,0.060,0.047,0.013,0.00054,1.271,0.077,0.060,0.017,0.921,0.718,0.203,9212.7,7181.7,2031.0,92.13,71.82,20.31,,,
Thimiriya,microbial mat,Abu Dhabi,3,15-55,40,,4.501,8.38,7.50,0.88,0.000,0.084,0.075,0.009,0.00000,1.479,0.124,0.111,0.013,4.957,4.435,0.521,49567.2,44353.8,5213.4,495.67,443.54,52.13,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,1,0-5,5,100,8.695,9.39,7.21,2.18,,0.094,0.072,0.022,,0.583,0.055,0.042,0.013,0.274,0.210,0.063,2736.2,2101.9,634.3,27.36,21.02,6.34,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,1,5-15,10,,2.925,9.25,8.71,0.53,,0.092,0.087,0.005,,0.928,0.086,0.081,0.005,0.858,0.809,0.049,8581.2,8086.6,494.6,85.81,80.87,4.95,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,1,15-30,15,,2.940,10.78,10.23,0.54,,0.108,0.102,0.005,,1.199,0.129,0.123,0.007,1.938,1.840,0.098,19381.9,18404.5,977.4,193.82,184.05,9.77,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,1,30-50,20,,2.983,7.88,6.31,1.57,,0.079,0.063,0.016,,1.230,0.097,0.078,0.019,1.939,1.553,0.386,19394.5,15534.7,3859.8,193.95,155.35,38.60,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,1,50-100,50,,2.555,9.53,7.87,1.65,,0.095,0.079,0.017,,1.295,0.123,0.102,0.021,6.168,5.099,1.069,61676.9,50985.7,10691.2,616.77,509.86,106.91,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,2,0-5,5,100,3.981,8.78,8.12,0.66,,0.088,0.081,0.007,,0.946,0.083,0.077,0.006,0.415,0.384,0.031,4150.5,3836.8,313.7,41.51,38.37,3.14,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,2,5-15,10,,5.197,4.40,3.61,0.79,,0.044,0.036,0.008,,1.234,0.054,0.045,0.010,0.544,0.446,0.097,5435.0,4460.2,974.8,54.35,44.60,9.75,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,2,15-30,15,,3.334,8.60,7.94,0.66,,0.086,0.079,0.007,,1.144,0.098,0.091,0.008,1.477,1.363,0.114,14766.3,13625.1,1141.2,147.66,136.25,11.41,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,2,30-50,20,,2.748,10.07,8.25,1.82,,0.101,0.082,0.018,,1.251,0.126,0.103,0.023,2.518,2.063,0.455,25180.7,20631.1,4549.6,251.81,206.31,45.50,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,2,50-100,50,,3.006,10.04,8.78,1.26,,0.100,0.088,0.013,,1.318,0.132,0.116,0.017,6.616,5.784,0.832,66159.6,57842.0,8317.6,661.60,578.42,83.18,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,3,0-5,5,100,4.671,10.15,9.24,0.90,,0.101,0.092,0.009,,0.923,0.094,0.085,0.008,0.468,0.427,0.042,4681.9,4265.8,416.1,46.82,42.66,4.16,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,3,5-15,10,,3.924,9.73,8.37,1.36,,0.097,0.084,0.014,,1.058,0.103,0.089,0.014,1.030,0.886,0.144,10297.1,8856.4,1440.7,102.97,88.56,14.41,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,3,15-30,15,,,,,0.86,,,,0.009,,1.022,,,0.009,,,0.132,,,1320.1,,,13.20,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,3,30-50,20,,2.865,6.24,5.37,0.86,,0.062,0.054,0.009,,1.329,0.083,0.071,0.011,1.657,1.427,0.230,16572.2,14274.6,2297.5,165.72,142.75,22.98,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,3,50-100,50,,2.210,10.02,9.13,0.89,,0.100,0.091,0.009,,1.358,0.136,0.124,0.012,6.801,6.198,0.603,68005.2,61980.0,6025.2,680.05,619.80,60.25,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,4,0-5,5,100,22.845,7.68,7.04,0.64,,0.077,0.070,0.006,,0.438,0.034,0.031,0.003,0.168,0.154,0.014,1683.1,1542.2,140.9,16.83,15.42,1.41,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,4,5-15,10,,3.351,8.45,7.27,1.17,,0.084,0.073,0.012,,0.926,0.078,0.067,0.011,0.782,0.674,0.109,7823.2,6737.8,1085.4,78.23,67.38,10.85,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,4,15-30,15,,3.648,7.68,7.04,0.64,,0.077,0.070,0.006,,1.210,0.093,0.085,0.008,1.393,1.277,0.117,13933.4,12766.8,1166.6,139.33,127.67,11.67,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,4,30-50,20,,2.499,7.80,5.98,1.82,,0.078,0.060,0.018,,1.438,0.112,0.086,0.026,2.243,1.720,0.523,22427.8,17198.9,5228.9,224.28,171.99,52.29,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,4,50-100,50,,8.260,8.09,6.14,1.95,,0.081,0.061,0.020,,1.457,0.118,0.089,0.028,5.891,4.470,1.421,58912.9,44700.3,14212.6,589.13,447.00,142.13,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,5,0-5,5,100,4.535,8.50,7.50,1.01,,0.085,0.075,0.010,,1.090,0.093,0.082,0.011,0.463,0.409,0.055,4633.9,4085.6,548.3,46.34,40.86,5.48,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,5,5-15,10,,6.165,8.43,6.57,1.85,,0.084,0.066,0.019,,1.191,0.100,0.078,0.022,1.004,0.783,0.221,10037.4,7829.2,2208.3,100.37,78.29,22.08,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,5,15-30,15,,2.953,7.72,5.99,1.73,,0.077,0.060,0.017,,1.335,0.103,0.080,0.023,1.547,1.199,0.347,15467.7,11993.7,3473.9,154.68,119.94,34.74,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,5,30-50,20,,3.121,7.61,5.28,2.32,,0.076,0.053,0.023,,1.360,0.103,0.072,0.032,2.069,1.437,0.632,20691.7,14366.8,6324.9,206.92,143.67,63.25,,,
Umm Al Quwain,microbial mat,Umm Al Quwain,5,50-100,50,,3.166,8.05,6.04,2.01,,0.081,0.060,0.020,,1.295,0.104,0.078,0.026,5.214,3.911,1.303,52136.4,39109.6,13026.8,521.36,391.10,130.27,,,
Sabkha Moon,low sabkha,Abu Dhabi,1,0-15,15,44,11.479,1.92,0.57,1.35,0.078,0.019,0.006,0.014,0.00078,1.548,0.030,0.009,0.021,0.446,0.133,0.314,4462.6,1325.8,3136.8,44.63,13.26,31.37,,,
Sabkha Moon,low sabkha,Abu Dhabi,1,15-25,10,,10.413,3.90,2.38,1.52,0.141,0.039,0.024,0.015,0.00141,1.291,0.050,0.031,0.020,0.504,0.308,0.196,5038.6,3076.2,1962.4,50.39,30.76,19.62,,,
Sabkha Moon,low sabkha,Abu Dhabi,1,25-30,5,,18.181,8.16,2.93,5.23,0.561,0.082,0.029,0.052,0.00561,0.974,0.079,0.029,0.051,0.397,0.143,0.255,3974.3,1426.3,2548.0,39.74,14.26,25.48,,,
Sabkha Moon,low sabkha,Abu Dhabi,1,30-44,14,,8.575,9.36,7.26,2.10,0.262,0.094,0.073,0.021,0.00262,1.002,0.094,0.073,0.021,1.313,1.019,0.294,13125.4,10185.7,2939.7,131.25,101.86,29.40,,,
Sabkha Moon,low sabkha,Abu Dhabi,2,0-15,15,36,13.003,2.40,0.51,1.88,0.000,0.024,0.005,0.019,0.00000,1.699,0.041,0.009,0.032,0.611,0.131,0.480,6107.4,1312.4,4795.0,61.07,13.12,47.95,,,
Sabkha Moon,low sabkha,Abu Dhabi,2,15-36,21,,17.943,7.30,2.81,4.50,0.331,0.073,0.028,0.045,0.00331,1.033,0.075,0.029,0.046,1.583,0.608,0.975,15834.1,6083.8,9750.3,158.34,60.84,97.50,,,
Sabkha Moon,low sabkha,Abu Dhabi,3,0-15,15,45,9.949,1.96,0.91,1.05,0.047,0.020,0.009,0.010,0.00047,1.459,0.029,0.013,0.015,0.429,0.200,0.229,4294.4,2002.3,2292.1,42.94,20.02,22.92,,,
Sabkha Moon,low sabkha,Abu Dhabi,3,15-30,15,,13.253,8.88,5.34,3.55,0.167,0.089,0.053,0.035,0.00167,1.235,0.110,0.066,0.044,1.646,0.988,0.657,16455.5,9884.9,6570.7,164.56,98.85,65.71,,,
Sabkha Moon,low sabkha,Abu Dhabi,3,35-45,15,,7.116,8.82,7.39,1.43,0.100,0.088,0.074,0.014,0.00100,1.497,0.132,0.111,0.021,1.980,1.660,0.320,19801.1,16600.3,3200.8,198.01,166.00,32.01,,,
Sabkha Moon,low sabkha,Abu Dhabi,4,0-10,10,38,12.415,1.91,0.30,1.62,0.057,0.019,0.003,0.016,0.00057,1.390,0.027,0.004,0.022,0.266,0.041,0.225,2660.9,414.9,2245.9,26.61,4.15,22.46,,,
